probeset	af_era_signal	af_wt_signal	az_0h_signal	az_dark_1h_signal	az_dark_2d_signal	az_dark_2h_signal	az_dark_5d_signal	az_dark_5h_signal	az_light_1h_signal	az_light_2d_signal	az_light_2h_signal	az_light_5d_signal	az_light_5h_signal	az_L_signal	az_S_signal	ag_era1_signal	ag_era1_11d_signal	ag_era1_17d_signal	ag_era1_23d_signal	ag_plp_signal	ag_wt_signal	ag_wt_15d_signal	ag_wt_21d_signal	ag_wt_09d_signal	lh_a_01_signal	lh_a_02_signal	lh_a_03_signal	lh_a_04_signal	lh_a_05_signal	lh_a_06_signal	lh_a_11_signal	lh_a_12_signal	mm_aph_00_signal	mm_aph_02_signal	mm_aph_04_signal	mm_aph_06_signal	mm_aph_08_signal	mm_aph_10_signal	mm_aph_12_signal	mm_aph_14_signal	mm_aph_16_signal	mm_aph_19_signal	mm_aph_22_signal	mm_aph_25_signal	mm_growth_D1_signal	mm_growth_D3_signal	mm_growth_D5_signal	mm_growth_D7_signal	mm_sucrose_00_signal	mm_sucrose_02_signal	mm_sucrose_04_signal	mm_sucrose_06_signal	mm_sucrose_08_signal	mm_sucrose_10_signal	mm_sucrose_12_signal	mk_001_signal	mk_002_signal	mk_301_signal	mk_302_signal	mk_481_signal	mk_482_signal	mk_081_signal	mk_082_signal	ma_de01_signal	ma_de02_signal	ma_de03_signal	ma_de04_signal	ma_de05_signal	ma_de06_signal	ma_de07_signal	ma_de08_signal	ma_de09_signal	ma_de10_signal	ma_de11_signal	ma_de12_signal	ma_de13_signal	ma_de14_signal	ma_de15_signal	ma_de16_signal	ma_de17_signal	ma_de18_signal	ma_de19_signal	ma_de20_signal	ma_de21_signal	ma_de22_signal	ma_de23_signal	ma_de24_signal	ma_de25_signal	ma_de26_signal	ns_b_01_signal	ns_b_02_signal	ns_b_03_signal	ns_b_04_signal	ns_b_05_signal	ns_b_06_signal	ns_b_07_signal	ns_b_08_signal	ns_b_09_signal	ns_b_10_signal	ns_b_11_signal	ns_b_12_signal	ns_b_13_signal	ol_03h_f1_signal	ol_03h_f2_signal	ol_03h_fc1_signal	ol_03h_fc2_signal	ol_24h_f1_signal	ol_24h_f2_signal	ol_24h_fc1_signal	ol_24h_fc2_signal	ol_48h_f1_signal	ol_48h_f2_signal	ol_48h_fc1_signal	ol_48h_fc2_signal	ol_lova_03_signal	ol_lova_03_c_signal	ol_lova_24_signal	ol_lova_24_c_signal	ol_lova_48_signal	ol_lova_48_c_signal	ol_fos03_signal	ol_fos03_c_signal	ol_fos24_c_signal	ol_fos48_signal	ol_fos48_c_signal	pc_caulinleaves_signal	pc_Col0_06h03_signal	pc_Col0_06hC_signal	pc_Col0_0d_signal	pc_Col0_24hC_signal	pc_Col0_24hO3_signal	pc_Col0_3d_signal	pc_Col0_3d_a_signal	pc_Col0_6d_signal	pc_Col0_C_signal	pc_S15_06hC_signal	pc_S15_06hO3_signal	pc_S15_06hC_signal	pc_S15_06hO3_signal	pc_S15_0d_signal	pc_S15_24hC_signal	pc_S15_24hO3_signal	pc_S15_3d_signal	pc_S15_6d_signal	pc_S15_C_signal	pc_S3_0d_signal	pc_S3_3d_signal	pc_S3_6d_signal	pc_S9_0d_signal	pc_S9_3d_signal	pc_S9_6d_signal	pc_Sps_0d_signal	pc_Sps_6d_signal
246498_at	133.1	127.2	85.7	66.5	88.9	127.9	598.7	51.4	56.8	193	31.7	277	49.9	115.8	83.2	171.8	92.2	128.1	8.7	106.9	34.8	103	7.3	121.5	81.5	107.2	9	23.3	200.9	17.9	25.2	76.1	47.3	112.2	42	8.1	100.1	59.3	118.6	12.6	230.5	61.1	88.4	87.8	17.7	86.4	24.1	22.5	10.5	31.7	27.2	54.2	7.4	8.5	20.3	9.5	102.7	138.3	9.2	360.4	202.7	126.3	118.9	131.7	48.8	17.9	161.9	145	23.7	105.6	18.1	123.7	108.5	129	32.4	129.3	124.9	14.2	157.3	145.1	98.6	23.9	82.9	31.2	186.2	15.8	94.8	59.4	101.4	125.4	131.8	103.8	117.2	92.3	89.6	115.9	171.7	57.5	68.9	88.6	41.7	36.9	142.2	160	96.4	149.3	78.8	23.7	76.2	64.7	11.8	9.2	12	12.9	10.4	143.3	87.7	70.6	79	111.2	14.7	115.3	18.2	13.3	78.3	85.8	243.5	17.2	107.1	97.5	54	89.7	107	80.5	89.3	96.4	166.1	96.4	166.1	105.6	83.9	82.5	98.3	169.7	54	86.8	9.1	7	129.3	18.5	175.6	193.9	145.3
246502_at	845.5	725.1	1977	1457.6	2151	1362	1649.7	1328.2	1474.9	1824.8	1547.4	1724.1	1513.3	1279.6	727.8	400.6	429.4	737.7	476.8	238.6	580.6	844.8	265.2	576.8	443.2	331.7	464.2	503.1	668.1	674.4	491.8	408.2	198.8	182.6	80.1	149.4	238.1	58.5	236.5	193.4	243.6	155.8	258.9	236.6	136.6	265.8	275	342.4	258.8	327.8	213.8	212.4	133.7	142	119.5	578.7	868.6	540.1	565.2	217.6	227.5	295.5	321.8	73.5	287.7	158.3	207.4	464.8	210.8	81.2	240	245.2	108.7	441.3	291.1	86.8	419.4	590.1	360.2	433.8	175.8	498.7	456.3	361.7	698.8	408.5	577.2	228.5	595.5	467	682.5	677.6	679.4	435.1	504.9	679.2	595.4	358.8	633.1	1119.1	701.8	818.1	720.2	628.4	682.5	531.4	499.2	809	654.6	499.2	232.8	215.2	245	331.2	456.7	478.5	794.2	366	330.4	155.2	460.5	431	429.4	276.4	131.8	378.6	439	530	484.1	954.8	435.8	509.5	463.9	419.9	827.9	614.4	533.2	614.4	533.2	368.2	696.9	1030	426.2	243.9	811.3	450.1	923.4	254.6	491.4	1213.1	514.2	548.7	309.4
246613_at	9795.8	10440.1	8689.7	9688.1	9607.1	8100.6	6229	7006.8	8360.7	7234.9	9407.8	8467.1	9791.4	7292.7	9317.3	5704.7	12846.4	8622.1	6070.1	2404.8	3967.2	7477.6	2751.9	10726	8560.8	8723.7	8610.1	9083.8	8819.8	8253.7	7400.3	6034.3	3609.8	2116.7	3007.8	2927.9	4403.7	4920.4	5204.1	4764.9	4979.3	4303.7	4772.8	4005	6735.7	5598.6	4445.2	3464.5	2376.3	4003.8	6328.6	8940.8	7141.1	7864.4	7461	5424.4	7873.5	6682.1	6305.3	2001.9	3423.1	5328.6	4994.4	4266.3	6497	4913.5	4518.3	6855.2	4826.3	4462.6	6938.3	3782.1	4460.5	6602.3	3736.4	4276.4	7277.8	8357	3986.6	4465.2	5288.5	5052.2	5071.1	6271.8	3397.3	6080.4	5655.5	4069.1	6629.2	7514.7	8388.1	6910.5	7372.8	5742.6	7631.4	7512.8	6126.4	7003.5	4859.9	4849.6	4597.8	5002.8	8483.1	8637.4	8760.7	8093.7	11042.5	11905.6	10167.2	10596	7973.7	8890	9846.8	9321.5	7604.4	8858.1	9736	7264.6	7843.7	4567.4	10954.1	9271.1	11334.9	6259.4	7710.6	4753.2	6988.3	9621.9	5431	8747.7	7275.2	4368.5	2277.4	5235.3	10317.2	9735.5	7562.9	9735.5	7562.9	1834	8971.3	7396.7	4601.9	1738	10343.7	5859.9	5061.4	2651.1	5251.3	4648.6	4912.9	4319.9	3359.9
246789_at	964.7	1130.5	3541	3843.1	4053.2	3371.7	3877.2	2958.1	2878.6	2729.4	3618.9	3991.2	3485.1	447.9	884	566.2	591.1	650	918.2	1454	748.1	774.6	1652.4	447.5	1007.6	994.4	981.3	916	1089	993.9	1375.7	1334.3	1389.3	1088.3	1529.4	1714.5	1560.3	1289	1354.6	1234.3	1371.5	1290.9	1205	1441	1215.8	1275.2	1460.8	1871.9	1466.1	1246.1	1450.2	1168.7	886.2	834.7	759.6	687.7	757.3	1083.9	814.9	4292.7	3837.3	1937.9	2410	1390.4	1062.2	1320.2	1408.1	1333.2	1758.1	1321.9	962.7	1537	1634.2	848.3	1200.1	1537.1	774.2	781.6	1896.2	1473.4	2382.9	1737.2	1465.9	1294.8	1740.1	1564.8	1759.3	1541	944.8	1100.2	1155.2	1052.4	1584.7	1056.5	1056.2	1628.7	962.8	917.5	1024.9	362.8	451.2	358.5	1172.4	1331.9	1532	1487.4	1355.7	1378.5	1239.4	1671.5	1899.3	1651.4	1907.3	1695	1072.1	1616.8	1448.1	2144.3	1755	1963.9	1244.5	1309.8	1414.2	2114.7	1971.5	790.1	1610.9	1156.7	378.8	1257.8	1830.2	745.6	1097	695.3	1396.3	1169.1	1975.7	1169.1	1975.7	943.1	1361.3	2196.5	841	1740.1	1557	481.6	709.8	1565.3	771.9	579.4	1042.7	622	1136.6
250125_at	4861.7	4184.2	6961.8	6072	6334	7227.2	5528.1	7267.7	8062.6	6928.9	7788	4889.4	7180.4	4809.4	4458.4	3585.7	8621	5743.6	2801.5	1938.2	3584.4	5281.3	1308.1	7803.9	4712.8	4614.1	4584.3	5367.5	4801.1	5533.7	4631.6	4441.1	2710.6	1985.7	2141.5	2802.4	3068.5	3477.7	2866.2	3242.5	3423.5	3448.2	3311.1	3482.2	4307.3	5013.5	2405.5	3422.9	1274.5	2664	3961.1	5605.2	5506.1	6055.9	5362.1	4479.4	3691.7	4339	3996.6	1311.2	2413.6	3802.2	3522.9	2890.3	5253.5	3131	3182	4794.9	3510.4	2932.9	4788.3	3132.7	2533.9	4279.5	2981.8	1986.2	4989.6	4413.4	2768.1	2774.7	3057.6	3386	3185.2	3265.2	1512	2687	2684.6	2812.7	4442	3396.1	3954.6	3583.2	2999.2	3668.2	3280.3	3027.6	3802.4	3948.4	1619.6	1296.9	1896.1	2796.5	3129.3	3365.7	2943.7	2953.4	2638.7	2109.6	2994.3	2492.4	1962.9	1812.6	2038.9	1889.5	3446.7	3395.8	2904.3	1777.1	2241	1082.3	3004.2	3793.5	3224.5	1578.1	2421.5	3959.1	4712.9	7494.9	4987.3	5878.4	4856.6	4744.3	2077.1	3950	4607.2	5060.8	4022.6	5060.8	4022.6	2795.8	5892.4	3516	4101.7	1673.1	6350.5	4940.6	4578.6	1876.8	5034.9	3202.2	4252.2	4038.6	2808.6
250470_at	2727.8	3186.8	3782.5	3840.8	3311.5	4091.3	2093.7	4643.4	4276	4726.8	3817.3	2558.9	3769.8	1406.6	2718.3	1442.7	6365	2773.7	1764.2	645.1	1074.5	2038.8	771.1	6048.1	2558.1	3008.8	2846.4	2574.2	3439.2	3601.9	2348.8	2091.1	1920.7	1929.5	1938.3	1719.8	1792	2132.7	2574.2	2183.4	2223.7	2110.6	2356.7	2477.7	2432.8	2597	1244.1	1419.2	1628.3	2785.5	3449.1	2928.7	3578.8	3398.7	3184.2	1638.2	2699.7	2473.2	2121.1	767.5	1742.8	2239.8	2177.5	1839	3319.5	1776.1	1774.2	3307.7	1919.2	1862.7	3104.3	1629.7	1825.1	3296.8	1691.9	1337.1	3472.5	3096.8	2146	2204.6	2695.5	2907.8	3119.9	2970.6	1624.7	2734.6	2764.5	1684.5	3451.3	3366.3	2277.7	3241.6	2816.1	2288.5	1997.6	2665.3	2291.9	2703.8	2470.4	2445.3	1236.5	1000.9	2079.4	2216.4	2322.2	2176	3159.6	3118.8	3316.4	3326.9	2735.4	2932.1	3024	3126.1	2000.1	2313.3	2847.2	2138.6	2581.7	1335.1	3078.8	2574.9	3168.9	1945.8	2415.7	1014.8	2313.6	3529.7	1544.6	3281.3	2706.4	1562.2	675.6	1591.3	2844.8	2781.6	2140.3	2781.6	2140.3	359.1	3120.2	2748	1534.8	699	3899.7	1344.4	1255.2	761.5	1505.7	1203.6	1399.1	882.1	951.4
250891_at	2664.3	1066.6	5.7	4.1	27.5	39	43.9	17.9	25.7	1.9	12.1	17.5	5.2	191.2	403.9	218.1	1520.9	855.5	113	145.6	70.4	521	155.2	1867.6	2065.6	1836.4	2089	2558.6	1863.8	1853.9	1028.2	993.6	96.1	122.7	73.5	130.2	47.3	83.8	128.6	74.6	60.9	118.9	113.4	77	80.8	101.3	96	40.3	139.1	120.7	83.2	13.8	74.4	86.7	250.6	348	287.4	90.4	148.7	102.4	117.2	147.4	181.9	2016.6	1741.1	2370.7	1581.5	1941.3	1190.9	2423.7	1821.3	3192.8	956.8	1880.2	3222	1293.1	970.7	840.4	1081.3	1029.8	2488.6	1955.4	2046.6	2020.3	2036.6	2129.2	3512.8	3111.2	1144.9	1271.8	920.9	1430.4	1318.4	1374	725.1	997.8	1572	897.4	66	42.6	149.3	122.1	2090.8	2517.3	2620.9	2738.3	871.7	803.9	1319	1123.2	577.3	453.5	907.1	734.5	2502.8	2560.9	2252.9	1061.5	732.6	304.2	1371.6	1709.7	1095.1	548	887.6	196.6	682.6	2275.8	568.7	3349.8	3608.5	133.6	196	117.9	846.9	981.5	653.8	981.5	653.8	169.9	2310	3800.5	257.7	3.6	1426.6	240.8	4.1	105.4	578.6	129.7	268.7	271.2	157.2
252035_at	79.4	107.2	79.2	84.6	76.8	161.9	133.5	86.9	121.8	83.4	106.4	131.3	85.9	65.8	90	102	23	115.7	57.3	47.3	229	250.5	126.9	174.2	95.4	141.3	86.3	216.6	100	52.2	81.5	117.8	167.3	163.2	221.6	105.2	272	130.4	84.6	118.7	194.9	188.1	322.1	124.6	125.3	165.5	122.1	96.5	233.2	143.9	135.1	210.6	122.4	161.4	209.7	148.6	159.4	109	108.7	159.1	87.6	134	97.5	182.7	12.8	102.6	145.6	198.4	130.6	136.7	90	80.1	14.3	79.9	92.9	52.1	79.8	174.8	125.8	92.2	103.4	157.7	77.9	55.6	382.7	58.2	84.2	17.4	15.7	73.6	129.9	109.3	136.7	81.7	175.6	120.7	171.3	126.8	59.3	138.2	99.4	169.1	48.5	24	64.3	29.9	72.5	53	46.3	96.4	112.9	47.2	150.8	112.7	256.2	170.4	106.9	91.8	113.9	180.9	169.9	58.9	41.7	156.7	246.3	108.9	137.2	78.6	68.3	30.7	68.7	106.1	91.6	22.2	145.4	77.3	139.7	77.3	139.7	15.9	69.2	86.3	25.4	54.7	95.6	23.9	117	130.4	255.7	151.5	149.1	157	130.7
253240_at	44	6.8	25	120.1	6.2	85.7	6.3	94.9	12.7	13.9	102	8.3	33	4.8	20.2	9.6	188.3	23.4	18.6	10.1	14.9	13.4	33	49.8	14	19.2	72	25.5	24.3	12.9	417.7	251.9	524.8	284.5	202	38.7	369	348.7	366.5	213.3	216.1	244.4	192.9	105	11.5	16.4	23.6	18.4	12.9	10.2	20.3	11	14.7	21.2	22.6	22	29.6	17.8	63.6	13.2	7.8	19.6	14.2	13.5	15	7.8	11.4	73.4	6.1	11.8	28.3	6.7	15.4	47.8	23.8	10.6	15.3	11.5	35.3	22.6	84.7	15.3	18.8	83.8	259.3	159.3	13.6	8.2	34.3	68.7	218.2	30.6	13.3	71.1	241	12	32.5	105.7	36.6	6.2	17.7	9.1	5.4	15.9	8.5	5.8	21.7	14.3	8.5	6.6	10.5	7.4	15.2	18.4	14.8	38.5	18.8	7.3	31.8	18.8	26.7	9.9	10	9	16.3	14.4	34.7	19.1	9.3	7.1	13.3	13	15	6.3	15.3	72.9	10.4	72.9	10.4	10.8	11.6	17.9	6.4	5	17.1	19.4	28.4	13.1	17.4	14.5	8.4	6.6	17
253241_at	29	98.2	59.7	60.5	107.2	108.3	34.7	75.2	79.5	63.4	34.5	58.9	45.5	32	55	13.2	9.7	44.4	7.1	82.7	40.8	83.7	17.2	95.7	100.5	52.6	6.9	68.3	132.6	93.3	139.9	73.1	64.1	112.3	138.5	151.3	80.1	159.2	123.2	143.7	90.3	106.1	137.9	93.3	86.8	86.9	143.5	82	168.4	171.5	178.1	97.1	122.4	140	164.9	48.2	73	153.5	55.6	80.6	120.6	15.7	57	85.8	115	68.7	108.6	93.8	80.1	194.1	26.9	102.8	162.1	45.6	47.5	64.7	90.1	51.7	78.1	131.7	115.6	49.7	153.4	122.4	416.6	16	28.1	95.2	66	77	49.1	70.2	85.3	20.6	74.5	102.4	97.1	120.7	74.1	12	71.2	135.6	128	74.3	46	100.3	13	58	55.5	38.1	100.7	26	147.1	60.6	98.4	94.7	52.8	57.4	43.7	132.4	95.4	20.4	134.6	29.3	36.2	17.5	126.3	59.8	111.6	66.5	155.7	95.1	8.6	140.4	50.3	103.4	107.4	103.4	107.4	156.7	32.7	209.6	131.3	89.9	134.6	185.8	35.8	77.9	73.8	9.1	124.2	24.3	136.1
